Branch,City,cogs,Customer type,Date,Gender,gross income,Sum of gross margin percentage,Invoice ID,Payment,Product line,Rating,Sum of Quantity,Tax 5%,Total,Unit price
A,Yangon,141.6,Normal,03-11-2019,Female,7.08,4.761904762,892-05-6689,Ewallet,Home and lifestyle,6.2,5,7.08,148.68,28.32
A,Yangon,142.25,Member,3/21/2019,Female,7.1125,4.761904762,527-09-6272,Credit card,Electronic accessories,9.1,5,7.1125,149.3625,28.45
A,Yangon,143.26,Member,02-12-2019,Female,7.163,4.761904762,373-14-0504,Ewallet,Sports and travel,8.8,2,7.163,150.423,71.63
A,Yangon,145.44,Member,3/25/2019,Male,7.272,4.761904762,340-66-0321,Cash,Electronic accessories,7.6,4,7.272,152.712,36.36
A,Yangon,148.6,Normal,3/23/2019,Male,7.43,4.761904762,795-49-7276,Ewallet,Fashion accessories,8.3,4,7.43,156.03,37.15
A,Yangon,15.34,Normal,01-06-2019,Female,0.767,4.761904762,490-29-1201,Cash,Sports and travel,6.5,1,0.767,16.107,15.34
A,Yangon,15.5,Normal,3/19/2019,Female,0.775,4.761904762,593-08-5916,Credit card,Fashion accessories,7.4,1,0.775,16.275,15.5
A,Yangon,152.58,Normal,02-12-2019,Male,7.629,4.761904762,287-83-1405,Ewallet,Health and beauty,7,6,7.629,160.209,25.43
A,Yangon,153.86,Member,01-10-2019,Female,7.693,4.761904762,873-51-0671,Ewallet,Sports and travel,5.1,7,7.693,161.553,21.98
A,Yangon,155,Member,3/23/2019,Male,7.75,4.761904762,851-28-6367,Ewallet,Sports and travel,8,10,7.75,162.75,15.5
A,Yangon,155.46,Member,02-05-2019,Male,7.773,4.761904762,729-09-9681,Ewallet,Home and lifestyle,8.7,6,7.773,163.233,25.91
A,Yangon,155.82,Normal,2/15/2019,Male,7.791,4.761904762,497-36-0989,Cash,Fashion accessories,7.9,3,7.791,163.611,51.94
A,Yangon,156.6,Normal,2/15/2019,Male,7.83,4.761904762,152-68-2907,Credit card,Food and beverages,9.5,3,7.83,164.43,52.2
A,Yangon,157.02,Normal,3/27/2019,Female,7.851,4.761904762,278-86-2735,Cash,Food and beverages,9.2,3,7.851,164.871,52.34
A,Yangon,158.1,Member,03-06-2019,Male,7.905,4.761904762,199-75-8169,Credit card,Sports and travel,8.6,10,7.905,166.005,15.81
A,Yangon,158.25,Normal,3/23/2019,Male,7.9125,4.761904762,865-92-6136,Ewallet,Food and beverages,9.3,3,7.9125,166.1625,52.75
A,Yangon,158.7,Member,3/13/2019,Male,7.935,4.761904762,877-22-3308,Cash,Health and beauty,5.8,10,7.935,166.635,15.87
A,Yangon,159.08,Member,3/27/2019,Female,7.954,4.761904762,186-71-5196,Ewallet,Food and beverages,6.2,2,7.954,167.034,79.54
A,Yangon,159.9,Member,1/25/2019,Male,7.995,4.761904762,856-66-2701,Ewallet,Home and lifestyle,7.5,3,7.995,167.895,53.3
A,Yangon,160.2,Member,1/25/2019,Female,8.01,4.761904762,340-21-9136,Cash,Sports and travel,9.7,4,8.01,168.21,40.05
A,Yangon,161.25,Normal,1/27/2019,Female,8.0625,4.761904762,870-54-3162,Cash,Sports and travel,9,5,8.0625,169.3125,32.25
A,Yangon,163.55,Normal,3/19/2019,Male,8.1775,4.761904762,831-07-6050,Credit card,Electronic accessories,9.9,5,8.1775,171.7275,32.71
A,Yangon,163.82,Normal,03-05-2019,Female,8.191,4.761904762,848-42-2560,Cash,Fashion accessories,7.8,2,8.191,172.011,81.91
A,Yangon,164.01,Normal,1/21/2019,Male,8.2005,4.761904762,329-62-1586,Credit card,Food and beverages,8.6,3,8.2005,172.2105,54.67
A,Yangon,166.3,Normal,3/18/2019,Female,8.315,4.761904762,485-30-8700,Credit card,Sports and travel,4.2,5,8.315,174.615,33.26
A,Yangon,166.68,Member,3/19/2019,Female,8.334,4.761904762,548-48-3156,Cash,Food and beverages,7.6,2,8.334,175.014,83.34
A,Yangon,167.54,Member,1/15/2019,Male,8.377,4.761904762,589-02-8023,Credit card,Food and beverages,7,2,8.377,175.917,83.77
A,Yangon,168,Normal,2/28/2019,Male,8.4,4.761904762,635-28-5728,Ewallet,Health and beauty,4.8,3,8.4,176.4,56
A,Yangon,172.8,Normal,2/17/2019,Male,8.64,4.761904762,636-48-8204,Ewallet,Electronic accessories,9.9,5,8.64,181.44,34.56
A,Yangon,173.74,Member,2/16/2019,Male,8.687,4.761904762,873-14-6353,Credit card,Food and beverages,7.1,7,8.687,182.427,24.82
A,Yangon,174.2,Member,2/22/2019,Female,8.71,4.761904762,807-14-7833,Ewallet,Electronic accessories,7,10,8.71,182.91,17.42
A,Yangon,174.24,Member,1/18/2019,Male,8.712,4.761904762,706-36-6154,Ewallet,Home and lifestyle,8.7,9,8.712,182.952,19.36
A,Yangon,175.34,Normal,03-10-2019,Female,8.767,4.761904762,189-17-4241,Credit card,Fashion accessories,7.7,2,8.767,184.107,87.67
A,Yangon,176.54,Member,02-04-2019,Female,8.827,4.761904762,745-71-3520,Cash,Electronic accessories,8.2,7,8.827,185.367,25.22
A,Yangon,177.36,Member,03-03-2019,Male,8.868,4.761904762,175-54-2529,Credit card,Food and beverages,9.6,8,8.868,186.228,22.17
A,Yangon,178.4,Normal,02-06-2019,Female,8.92,4.761904762,258-92-7466,Credit card,Health and beauty,6.6,5,8.92,187.32,35.68
A,Yangon,18.28,Normal,3/22/2019,Male,0.914,4.761904762,802-43-8934,Credit card,Home and lifestyle,8.3,1,0.914,19.194,18.28
A,Yangon,18.33,Member,02-02-2019,Female,0.9165,4.761904762,382-03-4532,Cash,Health and beauty,4.3,1,0.9165,19.2465,18.33
A,Yangon,180.09,Member,01-12-2019,Female,9.0045,4.761904762,381-20-0914,Credit card,Fashion accessories,5.7,9,9.0045,189.0945,20.01
A,Yangon,182.14,Normal,3/28/2019,Male,9.107,4.761904762,531-80-1784,Cash,Electronic accessories,5.1,7,9.107,191.247,26.02
A,Yangon,185.7,Normal,01-08-2019,Male,9.285,4.761904762,674-15-9296,Ewallet,Sports and travel,5,5,9.285,194.985,37.14
A,Yangon,186.28,Normal,1/20/2019,Female,9.314,4.761904762,645-78-8093,Ewallet,Sports and travel,4.1,2,9.314,195.594,93.14
A,Yangon,186.36,Normal,1/16/2019,Female,9.318,4.761904762,618-34-8551,Credit card,Sports and travel,8.5,2,9.318,195.678,93.18
A,Yangon,188.5,Member,2/27/2019,Male,9.425,4.761904762,250-17-5703,Ewallet,Food and beverages,5.6,10,9.425,197.925,18.85
A,Yangon,19.7,Member,02-08-2019,Male,0.985,4.761904762,756-49-0168,Ewallet,Fashion accessories,9.5,1,0.985,20.685,19.7
A,Yangon,190.68,Member,03-12-2019,Female,9.534,4.761904762,565-17-3836,Cash,Health and beauty,9.1,4,9.534,200.214,47.67
A,Yangon,192.7,Member,01-09-2019,Male,9.635,4.761904762,288-62-1085,Ewallet,Fashion accessories,5.6,5,9.635,202.335,38.54
A,Yangon,193.16,Normal,3/15/2019,Male,9.658,4.761904762,595-11-5460,Credit card,Health and beauty,5.1,2,9.658,202.818,96.58
A,Yangon,193.44,Member,1/28/2019,Male,9.672,4.761904762,726-29-6793,Ewallet,Electronic accessories,9.8,8,9.672,203.112,24.18
A,Yangon,193.5,Member,03-06-2019,Male,9.675,4.761904762,254-31-0042,Credit card,Electronic accessories,7.8,9,9.675,203.175,21.5
A,Yangon,193.86,Member,01-07-2019,Female,9.693,4.761904762,126-54-1082,Credit card,Home and lifestyle,8.8,9,9.693,203.553,21.54
A,Yangon,194.52,Normal,02-04-2019,Female,9.726,4.761904762,518-17-2983,Ewallet,Fashion accessories,7.6,4,9.726,204.246,48.63
A,Yangon,195.54,Normal,2/25/2019,Male,9.777,4.761904762,502-05-1910,Credit card,Health and beauty,6.3,3,9.777,205.317,65.18
A,Yangon,196.6,Member,3/15/2019,Female,9.83,4.761904762,510-09-5628,Credit card,Fashion accessories,7.2,10,9.83,206.43,19.66
A,Yangon,196.96,Normal,2/19/2019,Female,9.848,4.761904762,409-33-9708,Ewallet,Fashion accessories,9.2,2,9.848,206.808,98.48
A,Yangon,200.92,Normal,01-08-2019,Female,10.046,4.761904762,257-60-7754,Cash,Electronic accessories,9,4,10.046,210.966,50.23
A,Yangon,201.3,Normal,2/15/2019,Female,10.065,4.761904762,305-03-2383,Cash,Food and beverages,7.5,3,10.065,211.365,67.1
A,Yangon,202.65,Normal,03-03-2019,Male,10.1325,4.761904762,610-46-4100,Credit card,Health and beauty,6,7,10.1325,212.7825,28.95
A,Yangon,203.94,Normal,03-08-2019,Male,10.197,4.761904762,345-08-4992,Credit card,Home and lifestyle,7.7,6,10.197,214.137,33.99
A,Yangon,204.7,Normal,01-06-2019,Female,10.235,4.761904762,662-72-2873,Ewallet,Food and beverages,9.9,5,10.235,214.935,40.94
A,Yangon,204.76,Normal,3/18/2019,Female,10.238,4.761904762,439-54-7422,Credit card,Electronic accessories,4.7,4,10.238,214.998,51.19
A,Yangon,206.13,Normal,03-04-2019,Female,10.3065,4.761904762,276-75-6884,Cash,Health and beauty,8.7,3,10.3065,216.4365,68.71
A,Yangon,206.52,Member,2/18/2019,Female,10.326,4.761904762,354-39-5160,Cash,Home and lifestyle,9.8,6,10.326,216.846,34.42
A,Yangon,206.52,Member,3/30/2019,Female,10.326,4.761904762,291-55-6563,Ewallet,Home and lifestyle,7.5,6,10.326,216.846,34.42
A,Yangon,206.84,Normal,03-09-2019,Male,10.342,4.761904762,127-47-6963,Credit card,Health and beauty,9.8,4,10.342,217.182,51.71
A,Yangon,207.27,Normal,01-03-2019,Female,10.3635,4.761904762,749-24-1565,Ewallet,Health and beauty,7.9,9,10.3635,217.6335,23.03
A,Yangon,21.32,Normal,1/26/2019,Male,1.066,4.761904762,896-34-0956,Cash,Fashion accessories,5.9,1,1.066,22.386,21.32
A,Yangon,214.55,Normal,01-05-2019,Female,10.7275,4.761904762,209-61-0206,Ewallet,Home and lifestyle,6.1,5,10.7275,225.2775,42.91
A,Yangon,215.04,Normal,3/28/2019,Female,10.752,4.761904762,420-97-3340,Credit card,Food and beverages,9.2,3,10.752,225.792,71.68
A,Yangon,215.3,Normal,02-04-2019,Female,10.765,4.761904762,695-28-6250,Ewallet,Sports and travel,7.7,5,10.765,226.065,43.06
A,Yangon,217.26,Member,3/29/2019,Female,10.863,4.761904762,218-59-9410,Ewallet,Home and lifestyle,8.2,3,10.863,228.123,72.42
A,Yangon,221.56,Normal,3/25/2019,Female,11.078,4.761904762,156-95-3964,Ewallet,Food and beverages,8,4,11.078,232.638,55.39
A,Yangon,222,Member,1/20/2019,Male,11.1,4.761904762,787-87-2010,Credit card,Health and beauty,6.6,4,11.1,233.1,55.5
A,Yangon,222.4,Member,02-09-2019,Female,11.12,4.761904762,447-15-7839,Cash,Sports and travel,4.2,10,11.12,233.52,22.24
A,Yangon,222.95,Member,02-10-2019,Female,11.1475,4.761904762,162-48-8011,Cash,Food and beverages,8.5,5,11.1475,234.0975,44.59
A,Yangon,224.01,Normal,3/15/2019,Male,11.2005,4.761904762,848-62-7243,Cash,Health and beauty,7.4,9,11.2005,235.2105,24.89
A,Yangon,224.46,Normal,01-11-2019,Male,11.223,4.761904762,540-11-4336,Credit card,Food and beverages,5.6,9,11.223,235.683,24.94
A,Yangon,224.64,Member,02-06-2019,Female,11.232,4.761904762,609-81-8548,Credit card,Home and lifestyle,5.9,6,11.232,235.872,37.44
A,Yangon,225.6,Member,02-05-2019,Female,11.28,4.761904762,880-35-0356,Ewallet,Sports and travel,4.8,3,11.28,236.88,75.2
A,Yangon,226.12,Normal,03-04-2019,Female,11.306,4.761904762,256-08-8343,Ewallet,Home and lifestyle,5.5,4,11.306,237.426,56.53
A,Yangon,232.6,Normal,1/23/2019,Male,11.63,4.761904762,809-46-1866,Cash,Health and beauty,8.4,4,11.63,244.23,58.15
A,Yangon,234.75,Normal,02-12-2019,Female,11.7375,4.761904762,365-64-0515,Ewallet,Electronic accessories,7.1,5,11.7375,246.4875,46.95
A,Yangon,234.93,Normal,03-05-2019,Male,11.7465,4.761904762,655-07-2265,Ewallet,Electronic accessories,5.4,3,11.7465,246.6765,78.31
A,Yangon,236.07,Normal,1/25/2019,Male,11.8035,4.761904762,888-02-0338,Ewallet,Electronic accessories,5.9,9,11.8035,247.8735,26.23
A,Yangon,238.77,Member,01-08-2019,Female,11.9385,4.761904762,124-31-1458,Cash,Electronic accessories,6.6,3,11.9385,250.7085,79.59
A,Yangon,24.06,Normal,1/27/2019,Female,1.203,4.761904762,633-91-1052,Cash,Home and lifestyle,5.1,2,1.203,25.263,12.03
A,Yangon,240.04,Member,1/25/2019,Male,12.002,4.761904762,307-83-9164,Cash,Home and lifestyle,4.5,4,12.002,252.042,60.01
A,Yangon,240.24,Normal,02-11-2019,Male,12.012,4.761904762,531-56-4728,Cash,Home and lifestyle,5.4,3,12.012,252.252,80.08
A,Yangon,243.03,Member,1/13/2019,Male,12.1515,4.761904762,195-06-0432,Credit card,Home and lifestyle,9.3,3,12.1515,255.1815,81.01
A,Yangon,244.9,Member,2/22/2019,Female,12.245,4.761904762,864-24-7918,Cash,Sports and travel,8.1,10,12.245,257.145,24.49
A,Yangon,249.96,Member,01-02-2019,Male,12.498,4.761904762,712-39-0363,Ewallet,Food and beverages,5.6,6,12.498,262.458,41.66
A,Yangon,25,Normal,03-03-2019,Male,1.25,4.761904762,568-88-3448,Ewallet,Health and beauty,5.5,1,1.25,26.25,25
A,Yangon,25.29,Normal,3/23/2019,Female,1.2645,4.761904762,856-22-8149,Ewallet,Home and lifestyle,6.1,1,1.2645,26.5545,25.29
A,Yangon,25.52,Member,01-08-2019,Male,1.276,4.761904762,840-76-5966,Ewallet,Sports and travel,7.8,2,1.276,26.796,12.76
A,Yangon,250.6,Member,01-05-2019,Male,12.53,4.761904762,217-58-1179,Cash,Home and lifestyle,4.2,4,12.53,263.13,62.65
A,Yangon,253.95,Normal,2/19/2019,Male,12.6975,4.761904762,449-16-6770,Credit card,Health and beauty,5.3,5,12.6975,266.6475,50.79
A,Yangon,256.7,Member,3/28/2019,Male,12.835,4.761904762,470-32-9057,Credit card,Food and beverages,9.1,5,12.835,269.535,51.34
A,Yangon,257.08,Normal,3/26/2019,Female,12.854,4.761904762,797-88-0493,Cash,Health and beauty,7.7,4,12.854,269.934,64.27
A,Yangon,258.36,Normal,01-06-2019,Male,12.918,4.761904762,852-82-2749,Ewallet,Sports and travel,9.3,4,12.918,271.278,64.59
A,Yangon,259.68,Normal,3/27/2019,Male,12.984,4.761904762,238-49-0436,Credit card,Health and beauty,4.9,8,12.984,272.664,32.46
A,Yangon,263.76,Member,3/24/2019,Male,13.188,4.761904762,468-88-0009,Cash,Home and lifestyle,6,4,13.188,276.948,65.94
A,Yangon,264.45,Member,1/18/2019,Female,13.2225,4.761904762,562-12-5430,Ewallet,Fashion accessories,7.9,3,13.2225,277.6725,88.15
A,Yangon,265.89,Member,03-02-2019,Male,13.2945,4.761904762,549-59-1358,Ewallet,Sports and travel,6,3,13.2945,279.1845,88.63
A,Yangon,266.08,Normal,03-02-2019,Male,13.304,4.761904762,720-72-2436,Ewallet,Food and beverages,6.9,4,13.304,279.384,66.52
A,Yangon,269.04,Member,1/19/2019,Male,13.452,4.761904762,882-40-4577,Credit card,Sports and travel,8,4,13.452,282.492,67.26
A,Yangon,271.04,Normal,1/19/2019,Male,13.552,4.761904762,832-51-6761,Ewallet,Food and beverages,9.6,8,13.552,284.592,33.88
A,Yangon,271.35,Normal,3/13/2019,Female,13.5675,4.761904762,316-01-3952,Ewallet,Food and beverages,4.6,5,13.5675,284.9175,54.27
A,Yangon,276.27,Member,2/17/2019,Female,13.8135,4.761904762,131-70-8179,Cash,Health and beauty,4.2,3,13.8135,290.0835,92.09
A,Yangon,28.96,Normal,02-07-2019,Female,1.448,4.761904762,421-95-9805,Credit card,Electronic accessories,6.2,1,1.448,30.408,28.96
A,Yangon,281.34,Member,1/30/2019,Male,14.067,4.761904762,804-38-3935,Credit card,Electronic accessories,5.9,3,14.067,295.407,93.78
A,Yangon,281.61,Normal,3/30/2019,Female,14.0805,4.761904762,286-01-5402,Cash,Sports and travel,9.6,7,14.0805,295.6905,40.23
A,Yangon,282.8,Normal,3/22/2019,Female,14.14,4.761904762,886-18-2897,Credit card,Food and beverages,4.5,5,14.14,296.94,56.56
A,Yangon,282.96,Member,01-05-2019,Male,14.148,4.761904762,144-51-6085,Credit card,Home and lifestyle,4.4,4,14.148,297.108,70.74
A,Yangon,283.92,Member,2/21/2019,Female,14.196,4.761904762,319-74-2561,Cash,Electronic accessories,5.5,3,14.196,298.116,94.64
A,Yangon,291,Member,01-11-2019,Male,14.55,4.761904762,130-67-4723,Ewallet,Food and beverages,9.4,6,14.55,305.55,48.5
A,Yangon,292.2,Normal,2/25/2019,Female,14.61,4.761904762,308-81-0538,Credit card,Fashion accessories,4.9,4,14.61,306.81,73.05
A,Yangon,293.88,Member,2/23/2019,Female,14.694,4.761904762,274-05-5470,Cash,Food and beverages,6,4,14.694,308.574,73.47
A,Yangon,294.2,Normal,01-12-2019,Female,14.71,4.761904762,647-50-1224,Ewallet,Fashion accessories,8.9,10,14.71,308.91,29.42
A,Yangon,297.99,Normal,01-06-2019,Female,14.8995,4.761904762,846-10-0341,Cash,Fashion accessories,6.8,7,14.8995,312.8895,42.57
A,Yangon,298.64,Normal,03-04-2019,Female,14.932,4.761904762,221-25-5073,Cash,Food and beverages,8.5,4,14.932,313.572,74.66
A,Yangon,298.8,Member,2/25/2019,Female,14.94,4.761904762,459-45-2396,Cash,Food and beverages,5.8,3,14.94,313.74,99.6
A,Yangon,299.7,Normal,03-04-2019,Female,14.985,4.761904762,558-60-5016,Ewallet,Home and lifestyle,7.2,9,14.985,314.685,33.3
A,Yangon,30.61,Normal,1/23/2019,Male,1.5305,4.761904762,318-12-0304,Ewallet,Fashion accessories,5.2,1,1.5305,32.1405,30.61
A,Yangon,30.62,Member,02-05-2019,Female,1.531,4.761904762,307-04-2070,Credit card,Fashion accessories,4.1,1,1.531,32.151,30.62
A,Yangon,301.4,Member,02-10-2019,Female,15.07,4.761904762,685-64-1609,Ewallet,Fashion accessories,9.2,10,15.07,316.47,30.14
A,Yangon,304.56,Member,3/21/2019,Male,15.228,4.761904762,827-26-2100,Ewallet,Home and lifestyle,8.8,9,15.228,319.788,33.84
A,Yangon,307.68,Normal,1/19/2019,Male,15.384,4.761904762,796-32-9050,Cash,Food and beverages,6.5,6,15.384,323.064,51.28
A,Yangon,308.85,Normal,03-08-2019,Female,15.4425,4.761904762,563-91-7120,Cash,Fashion accessories,6.7,5,15.4425,324.2925,61.77
A,Yangon,309.88,Normal,3/17/2019,Female,15.494,4.761904762,220-68-6701,Cash,Home and lifestyle,4.2,4,15.494,325.374,77.47
A,Yangon,31.84,Member,02-09-2019,Male,1.592,4.761904762,727-02-1313,Cash,Food and beverages,7.7,1,1.592,33.432,31.84
A,Yangon,310.72,Member,02-01-2019,Female,15.536,4.761904762,443-82-0585,Cash,Health and beauty,8.4,4,15.536,326.256,77.68
A,Yangon,310.88,Member,01-07-2019,Male,15.544,4.761904762,799-71-1548,Credit card,Electronic accessories,8.8,4,15.544,326.424,77.72
A,Yangon,313.1,Member,03-10-2019,Male,15.655,4.761904762,129-29-8530,Ewallet,Sports and travel,7,5,15.655,328.755,62.62
A,Yangon,315.36,Member,02-09-2019,Male,15.768,4.761904762,146-09-5432,Ewallet,Food and beverages,4.6,9,15.768,331.128,35.04
A,Yangon,318.05,Normal,3/16/2019,Female,15.9025,4.761904762,727-17-0390,Ewallet,Food and beverages,4.8,5,15.9025,333.9525,63.61
A,Yangon,319.06,Normal,1/13/2019,Male,15.953,4.761904762,460-93-5834,Cash,Sports and travel,5,7,15.953,335.013,45.58
A,Yangon,320.53,Normal,3/13/2019,Male,16.0265,4.761904762,101-17-6199,Credit card,Food and beverages,7,7,16.0265,336.5565,45.79
A,Yangon,322.2,Member,3/30/2019,Female,16.11,4.761904762,676-39-6028,Cash,Electronic accessories,6.6,5,16.11,338.31,64.44
A,Yangon,323.2,Normal,2/20/2019,Female,16.16,4.761904762,725-56-0833,Credit card,Health and beauty,10,10,16.16,339.36,32.32
A,Yangon,324.31,Normal,03-03-2019,Male,16.2155,4.761904762,631-41-3108,Credit card,Home and lifestyle,7.4,7,16.2155,340.5255,46.33
A,Yangon,329.32,Member,01-11-2019,Male,16.466,4.761904762,289-15-7034,Credit card,Sports and travel,7.5,4,16.466,345.786,82.33
A,Yangon,335.45,Normal,01-03-2019,Female,16.7725,4.761904762,422-29-8786,Credit card,Home and lifestyle,9.1,5,16.7725,352.2225,67.09
A,Yangon,345.66,Member,3/27/2019,Male,17.283,4.761904762,633-44-8566,Credit card,Food and beverages,7.3,7,17.283,362.943,49.38
A,Yangon,348.48,Member,3/20/2019,Female,17.424,4.761904762,509-29-3912,Ewallet,Sports and travel,4.2,9,17.424,365.904,38.72
A,Yangon,349.56,Normal,3/28/2019,Male,17.478,4.761904762,212-62-1842,Cash,Food and beverages,9.9,6,17.478,367.038,58.26
A,Yangon,35.82,Member,1/19/2019,Male,1.791,4.761904762,482-17-1179,Credit card,Electronic accessories,8.1,3,1.791,37.611,11.94
A,Yangon,350.05,Normal,01-03-2019,Male,17.5025,4.761904762,249-42-3782,Ewallet,Health and beauty,5.5,5,17.5025,367.5525,70.01
A,Yangon,355.4,Member,01-04-2019,Female,17.77,4.761904762,731-14-2199,Ewallet,Home and lifestyle,7,10,17.77,373.17,35.54
A,Yangon,356.58,Member,1/13/2019,Female,17.829,4.761904762,397-25-8725,Credit card,Health and beauty,6.8,9,17.829,374.409,39.62
A,Yangon,361.83,Normal,1/26/2019,Male,18.0915,4.761904762,834-61-8124,Cash,Electronic accessories,5.5,7,18.0915,379.9215,51.69
A,Yangon,372.19,Member,1/21/2019,Male,18.6095,4.761904762,269-10-8440,Cash,Health and beauty,8.9,7,18.6095,390.7995,53.17
A,Yangon,372.78,Normal,3/22/2019,Male,18.639,4.761904762,630-74-5166,Cash,Sports and travel,7.4,6,18.639,391.419,62.13
A,Yangon,375.55,Member,02-10-2019,Female,18.7775,4.761904762,559-98-9873,Ewallet,Fashion accessories,5.2,7,18.7775,394.3275,53.65
A,Yangon,378.68,Normal,03-11-2019,Female,18.934,4.761904762,749-81-8133,Cash,Fashion accessories,6.8,4,18.934,397.614,94.67
A,Yangon,379.04,Normal,02-11-2019,Female,18.952,4.761904762,534-53-3526,Ewallet,Sports and travel,7.8,4,18.952,397.992,94.76
A,Yangon,379.96,Normal,1/27/2019,Female,18.998,4.761904762,595-27-4851,Ewallet,Fashion accessories,9.3,7,18.998,398.958,54.28
A,Yangon,38.6,Normal,1/29/2019,Male,1.93,4.761904762,575-67-1508,Ewallet,Electronic accessories,6.7,1,1.93,40.53,38.6
A,Yangon,380.72,Member,01-01-2019,Male,19.036,4.761904762,530-90-9855,Cash,Home and lifestyle,5.7,8,19.036,399.756,47.59
A,Yangon,385.1,Normal,02-03-2019,Male,19.255,4.761904762,566-71-1091,Cash,Fashion accessories,5.5,5,19.255,404.355,77.02
A,Yangon,387.5,Normal,1/24/2019,Female,19.375,4.761904762,726-27-2396,Ewallet,Health and beauty,4.3,5,19.375,406.875,77.5
A,Yangon,388.96,Member,1/24/2019,Female,19.448,4.761904762,778-34-2523,Cash,Electronic accessories,5,8,19.448,408.408,48.62
A,Yangon,396.36,Normal,1/23/2019,Female,19.818,4.761904762,213-32-1216,Cash,Electronic accessories,7.3,6,19.818,416.178,66.06
A,Yangon,402.6,Normal,2/24/2019,Female,20.13,4.761904762,380-60-5336,Credit card,Electronic accessories,5,10,20.13,422.73,40.26
A,Yangon,407.44,Normal,3/22/2019,Male,20.372,4.761904762,472-15-9636,Ewallet,Home and lifestyle,9.2,8,20.372,427.812,50.93
A,Yangon,41.78,Member,02-05-2019,Male,2.089,4.761904762,324-92-3863,Cash,Electronic accessories,9.8,2,2.089,43.869,20.89
A,Yangon,410.72,Member,1/31/2019,Male,20.536,4.761904762,522-57-8364,Ewallet,Fashion accessories,7.6,8,20.536,431.256,51.34
A,Yangon,412.16,Member,02-02-2019,Female,20.608,4.761904762,420-18-8989,Cash,Sports and travel,9.6,8,20.608,432.768,51.52
A,Yangon,412.37,Normal,1/17/2019,Male,20.6185,4.761904762,497-37-6538,Ewallet,Sports and travel,9.7,7,20.6185,432.9885,58.91
